"SUMMONS_NUMBER","PLATE","STATE","WS_TYPE","ISSUE_DATE","VIOLATION_DESCRIPTION","VIOLATION_CODE","FINE_AMOUNT","VIOLATION_COUNTY","FRONT_OF_OPPOSITE","HOUSE_NUMBER","STREET_NAME","INTERSECT_STREET_NAME","STREET_CODE1","STREET_CODE2","STREET_CODE3"
"7020016868","EWV7951   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","K    ","F","672         ","Grand St            ","                    ","45130","58330","44930"
"7715693480","DRK6455   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","NY   ","F","1902        ","St Nicholas Ave     ","                    ","31190","40404","40404"
"7943848743","DSW6256   ","NY","PAS","20100305","48-Bike Lane                                                           Y015001003","48","115","NY   ","F","37          ","E 1st St            ","                    ","17010","10110","10010"
"7934204413","DTN6966   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","I","W           ","4th Ave             ","10ft S/of E 11th St ","10350","00000","00000"
"7406212276","DUV5837   ","NY","PAS","20100305","48-Bike Lane                                                           Y015001003","48","115","BX   ","F","555         ","Walton Ave          ","                    ","72720","26130","26160"
"7194184813","DVZ2146   ","NY","PAS","20100305","48-Bike Lane                                                           Y015001003","48","115","BX   ","F","1015        ","Walton Ave          ","                    ","72720","26580","26610"
"1290046906","DWV2558   ","NY","PAS","20100302","                                                                                 ","48","055","Q    ","F","113-15      ","34 AVE              ","                    ","08440","20640","12010"
"7948968775","DZG6991   ","NY","PAS","20100305","48-Bike Lane                                                           Y015001003","48","115","NY   ","F","99          ","Chrystie St         ","                    ","15310","22890","21690"
"7520593990","DZZ4617   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","F","382         ","5th Ave             ","                    ","05580","05630","05730"
"7107048314","EBC7971   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","Q    ","F","40-13       ","20th Ave            ","                    ","06440","64290","09640"
"7506402191","EBN2959   ","NY","PAS","20100306","48-Bike Lane                                                           Y015001003","48","115","K    ","F","341         ","5th Ave             ","                    ","05580","05530","05630"
"1291323030","ECL2508   ","NY","PAS","20100303","                                                                                 ","48","065","NY   ","F","120         ","COLUMBIA            ","                    ","00000","40404","40404"
"7736588235","EDF8413   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","K    ","F","886         ","De Kalb Ave         ","                    ","31530","85330","83330"
"7526476271","EGR3326   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","K    ","F","424         ","Bergen St           ","                    ","19230","05430","05580"
"7729313303","EHA2860   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","O","377         ","Evergreen Ave       ","                    ","40030","60230","46230"
"7530566726","EHK2046   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","K    ","F","350         ","9th St              ","                    ","06030","05580","05680"
"7856610128","EKA2881   ","NY","PAS","20100307","48-Bike Lane                                                           Y015001003","48","115","NY   ","F","168         ","Avenue A            ","                    ","12110","17190","17210"
"7944550178","EKC5673   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","F","135         ","E Broadway          ","                    ","19690","28790","29990"
"7621632471","EKW4542   ","NY","PAS","20100306","48-Bike Lane                                                           Y015001003","48","115","K    ","I","S           ","Willoughby Ave      ","10ft W/of Washington","93230","00000","00000"
"7530566751","EME4344   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","K    ","F","567         ","9th St              ","                    ","06030","05880","72630"
"7194184795","EMY8801   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","BX   ","F","1055        ","Walton Ave          ","                    ","72720","26610","26640"
"7530566660","END8085   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","K    ","F","519         ","9th St              ","                    ","06030","05880","72630"
"7422220570","ENP2309   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","BX   ","F","711         ","Walton Ave          ","                    ","72720","26250","26370"
"7260384773","ENV8068   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","I","E           ","Greenwich St        ","25ft S/of Christophe","21790","00000","00000"
"7736587619","EN6962    ","WI","PAS","20100305","48-Bike Lane                                                           Y015001003","48","115","K    ","F","1163        ","Dean St             ","                    ","31830","18630","67030"
"7720889575","EPF8322   ","NY","OMS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","I","W           ","Samuel Dickstein Plz","50ft S/of Grand St  ","30155","00000","00000"
"7529408010","ERD5776   ","NY","PAS","20100305","48-Bike Lane                                                           Y015001003","48","115","K    ","F","1024        ","Manhattan Ave       ","                    ","58330","45830","42130"
"7186608577","ETF8653   ","NY","PAS","20100307","48-Bike Lane                                                                     ","48","115","NY   ","F","81          ","Chrystie St         ","                    ","15310","22890","21690"
"7845806456","ETL3996   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","F","209         ","8th Ave             ","                    ","10810","34170","34190"
"7186608711","ETM6735   ","NY","PAS","20100307","48-Bike Lane                                                                     ","48","115","NY   ","F","24          ","E Broadway          ","                    ","19690","14310","25890"
"7935369185","ETS3857   ","NY","PAS","20100307","48-Bike Lane                                                           Y015001003","48","115","NY   ","O","137         ","E Broadway          ","                    ","19690","28790","29990"
"7533838634","ETU3872   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","F","836         ","Bedford Ave         ","                    ","18630","69230","63030"
"7388684347","EUG1307   ","NY","PAS","20100306","48-Bike Lane                                                           Y015001003","48","115","BX   ","F","904         ","Prospect Ave        ","                    ","59520","26490","26520"
"7032022479","EVD4932   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","BX   ","F","975         ","Walton Ave          ","                    ","72720","26490","26580"
"7736587607","EVX5217   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","F","1171        ","Dean St             ","                    ","31830","18630","67030"
"7935369148","EWK2960   ","NY","PAS","20100307","48-Bike Lane                                                                     ","48","115","NY   ","O","382         ","Grand St            ","                    ","21690","27190","31890"
"7842555461","EWY9075   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","NY   ","F","45          ","E 20th St           ","                    ","17390","13610","27800"
"7032022455","EXT2519   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","BX   ","F","1055        ","Walton Ave          ","                    ","72720","26610","26640"
"7325459877","EXX1252   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","NY   ","F","207         ","W 106th St          ","                    ","35890","11710","13610"
"7940151472","E613YF    ","NY","PAS","20100306","48-Bike Lane                                                           Y015001003","48","115","NY   ","O","129         ","E Broadway          ","                    ","19690","28790","29990"
"1286320240","AB272D    ","NJ","PAS","20100301","                                                                                 ","48","115","NY   ","F","546         ","3RD AVE             ","                    ","05280","06430","06530"
"7930960997","AG255X    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","280         ","Madison St          ","                    ","25490","15510","26440"
"7939752467","AG288U    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","270         ","Lafayette St        ","                    ","24390","29290","24010"
"7627080344","AH748D    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","301         ","Grand St            ","                    ","21690","20090","11610"
"7895747710","AH963N    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","62          ","Avenue A            ","                    ","12110","17070","17090"
"7948565267","AH963N    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","O","55          ","Avenue A            ","                    ","12110","17050","17070"
"7531073286","AJ249Z    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","F","346         ","9th St              ","                    ","06030","05580","05680"
"7729887204","AJ249Z    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","F","344         ","9th St              ","                    ","06030","05580","05680"
"7010437312","AJ309C    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","2205        ","1st Ave             ","                    ","10010","19210","19230"
"7733654257","AJ892X    ","NJ","PAS","20100308","48-Bike Lane                                                           Y015001003","48","115","K    ","F","775         ","Grand St            ","                    ","45130","51530","23930"
"7329804710","AK480G    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","O","1005        ","St Nicholas Ave     ","                    ","31190","32195","36990"
"7399896318","AK589V    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","BX   ","F","2484        ","Grand Concourse     ","                    ","36420","27300","29220"
"7729886984","AK826B    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","F","321         ","9th St              ","                    ","06030","05580","05680"
"7714925243","AK966Z    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","I","S           ","St Nicholas Ave     ","75ft E/of W 166th St","31190","00000","00000"
"7976938769","ALY1773   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","2133        ","1st Ave             ","                    ","10010","19150","19170"
"7895747976","AL109D    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","I","W           ","Avenue C            ","20ft N/of E 7th St  ","12310","00000","00000"
"7945357489","AM485F    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","50          ","E 9th St            ","                    ","17170","32645","13610"
"7729887216","AM721L    ","NJ","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","F","325         ","9th St              ","                    ","06030","05580","05680"
"7395031738","AWG8092   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","BX   ","F","690         ","Gerard Ave          ","                    ","35020","26250","26370"
"7714186045","AXZ1177   ","GA","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","95          ","Seaman Ave          ","                    ","30190","11310","37630"
"7284646391","BNX4818   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","46          ","E 91st St           ","                    ","18810","25390","27790"
"7343435814","CCN8769   ","MI","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","O","95          ","W 119th St          ","                    ","36150","10410","24690"
"7712206296","CPZ9688   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","342         ","E 119th St          ","                    ","19330","10110","10010"
"7974585742","DCX6616   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","50          ","W 77th St           ","                    ","35310","14510","15710"
"7395032044","DEG2379   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","BX   ","F","918         ","Gerard Ave          ","                    ","35020","26520","26580"
"7289933588","DGG5710   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","2133        ","1st Ave             ","                    ","10010","19150","19170"
"7302948537","DLJ1103   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","100         ","Haven Ave           ","                    ","22590","37170","37190"
"7732072777","DNE9356   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","F","127         ","Wallabout St        ","                    ","89030","60730","57030"
"7360211529","DNF9058   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","O","1081        ","St Nicholas Ave     ","                    ","31190","37030","37050"
"7388685236","DNG3319   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","BX   ","F","1815        ","Grand Concourse     ","                    ","36420","29720","26940"
"7714186150","DVT8097   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","O","35          ","Ft Washington Ave   ","                    ","21190","36970","36990"
"7712206284","DXZ3259   ","NY","PAS","20100308","48-Bike Lane                                                           Y015001003","48","115","NY   ","I","S           ","E 119th St          ","60ft E/of 1st Ave   ","19330","00000","00000"
"7991315216","EAU8115   ","NY","OMS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","206         ","St Nicholas Ave     ","                    ","31190","36170","36190"
"7531403328","ECD2073   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","F","367         ","Carlton Ave         ","                    ","24730","54130","45930"
"7533839780","EDB5170   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","O","2153        ","Bergen St           ","                    ","19230","38430","82230"
"7171704609","EDF3123   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","I","S           ","Willoughby Ave      ","5ft W/of Washington ","93230","00000","00000"
"7395032068","EHC7249   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","BX   ","I","E           ","Gerard Ave          ","150ft S/of E 164th S","35020","00000","00000"
"7530567299","EJL3264   ","NY","PAS","20100308","48-Bike Lane                                                           Y015001003","48","115","K    ","O","121         ","Greenpoint Ave      ","                    ","46030","42030","58330"
"7257942493","EKZ4652   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","O","540         ","E New York Ave      ","                    ","38330","23330","54070"
"7729314290","EKZ6888   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","F","248         ","Dekalb Ave          ","                    ","31530","27030","87330"
"7301512065","ENK5410   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","O","1070        ","St Nicholas Ave     ","                    ","31190","37030","37050"
"7311407564","EPW7150   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","630         ","Fort Washington Ave ","                    ","21190","37490","37550"
"7714186409","ESF9724   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","140         ","Seaman Ave          ","                    ","30190","28390","37690"
"7334657263","ESU1053   ","OH","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","1830        ","1st Ave             ","                    ","10010","18850","18870"
"7551024840","ETP7968   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","F","230         ","Bergen St           ","                    ","19230","20530","64330"
"7004022717","ETY6716   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","Q    ","I","N           ","Skillman Ave        ","65ft W/of 56th St   ","62590","00000","00000"
"7395032032","EUM5535   ","NY","OMS","20100308","48-Bike Lane                                                                     ","48","115","BX   ","F","918         ","Gerard Ave          ","                    ","35020","26520","26580"
"7393097746","EUY2976   ","NY","PAS","20100308","48-Bike Lane                                                           Y015001003","48","115","BX   ","O","759         ","Gerard Ave          ","                    ","35020","26250","26370"
"7171704671","EVX2219   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","I","S           ","Willoughby Ave      ","5ft W/of Washington ","93230","00000","00000"
"7998946428","EWL4551   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","O","255         ","Dyckman St          ","                    ","16910","30190","28390"
"7514107927","EXV5050   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","K    ","F","295         ","9th St              ","                    ","06030","05430","05580"
"7349124041","EXW1492   ","NY","PAS","20100308","48-Bike Lane                                                                     ","48","115","NY   ","F","2105        ","1st Ave             ","                    ","10010","19130","19150"
"7895748245","AB128N    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","NY   ","F","115         ","Avenue C            ","                    ","12310","17130","17150"
"7515851806","ACL9550   ","GA","PAS","20100309","48-Bike Lane                                                           Y015001003","48","115","K    ","O","283         ","Cumberland St       ","                    ","31130","54130","45930"
"7986065540","AD65582   ","AZ","PAS","20100309","48-Bike Lane                                                                     ","48","115","NY   ","F","215         ","W 106th St          ","                    ","35890","11710","13610"
"7388685340","AE261X    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","BX   ","O","738         ","Other-See Comments  ","738 SAINT ANNS AVE  ","00000","00000","00000"
"7524648893","AG314X    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","K    ","O","987         ","Manhattan Ave       ","                    ","58330","51930","51730"
"7933755859","AH310P    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","NY   ","F","62          ","Avenue A            ","                    ","12110","17070","17090"
"7933756050","AJ407X    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","NY   ","I","W           ","Chrystie St         ","100ft S/of E Houston","15310","00000","00000"
"7382984760","AJ559P    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","BX   ","F","1707        ","University Ave      ","                    ","70620","74480","48220"
"7388685546","AJ635H    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","BX   ","I","N           ","Willis Ave          ","20ft E/of E 144th St","00000","00000","00000"
"7895748269","AL109D    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","NY   ","O","116         ","Avenue C            ","                    ","12310","17130","17150"
"7530567792","AL724M    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","K    ","F","409         ","5th Ave             ","                    ","05580","05830","05930"
"7729314502","AL784W    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","K    ","F","905         ","Manhattan Ave       ","                    ","58330","46030","54010"
"7936580165","AM115B    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","NY   ","I","W           ","2nd Ave             ","8ft N/of E 9th St   ","10110","00000","00000"
"7527883601","AM621F    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","K    ","O","954         ","Manhattan Ave       ","                    ","58330","52830","51930"
"7725717638","AM621F    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","K    ","O","644         ","Grand St            ","                    ","45130","55430","58330"
"7388685601","AW430K    ","NJ","PAS","20100309","48-Bike Lane                                                                     ","48","115","BX   ","F","993         ","Prospect Ave        ","                    ","59520","26550","26580"
"7392609580","BLANKPLATE","99","999","20100309","48-Bike Lane                                                                     ","48","115","BX   ","F","            ","Grand Concourse     ","                    ","36420","40404","40404"
"7976565928","DFF1637   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","310         ","W 77th St           ","                    ","35310","44990","29690"
"7241086685","DFX9662   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","K    ","F","1522        ","Neptune Ave         ","                    ","64230","91180","91230"
"7595629160","DNM1314   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","NY   ","I","E           ","Greenwich St        ","25ft S/of Christophe","21790","00000","00000"
"7722822903","DSU8070   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","I","N           ","Greenwich St        ","25ft E/of Christophe","21790","00000","00000"
"7285039743","DWR5317   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","234         ","E 119th St          ","                    ","19330","10210","10110"
"7961746572","DWW2313   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","Q    ","F","32-39       ","35th St             ","                    ","08640","37290","08440"
"7267157749","DYL1714   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","I","S           ","Reade St            ","90ft E/of Broadway  ","29390","00000","00000"
"7436974919","DZE3086   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","Q    ","F","82-33       ","164th St            ","                    ","24240","47090","16840"
"7520593708","EBC4212   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","K    ","F","912         ","Manhattan Ave       ","                    ","58330","46030","54010"
"7038012630","ECE4948   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","126W        ","W 119th St          ","                    ","36150","24690","10610"
"7299786333","ECF1266   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","114         ","Seaman Ave          ","                    ","30190","37630","28390"
"7012009597","EFP5975   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","336         ","W 77th St           ","                    ","35310","44990","29690"
"7712205541","EFW9924   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","222         ","E 119th St          ","                    ","19330","10210","10110"
"7260384130","EFZ1667   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","I","E           ","Greenwich St        ","25ft S/of Christophe","21790","00000","00000"
"7285039767","EHN8368   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","344         ","E 120th St          ","                    ","19350","10110","10010"
"7991313657","EJS7585   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","2335        ","1st Ave             ","                    ","10010","19330","19350"
"7329804095","EJZ7585   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","O","2288        ","1st Ave             ","                    ","10010","19290","19310"
"7536165640","EKZ2376   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","K    ","F","679         ","Bedford Ave         ","                    ","18630","74330","49530"
"7435078785","EAS2170   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","Q    ","O","151-15      ","84th St             ","                    ","17140","23340","23390"
"7798158807","ERL6775   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","K    ","F","588         ","Grand St            ","                    ","45130","57030","55430"
"7737424600","ESJ2426   ","NY","PAS","20100304","48-Bike Lane                                                           Y015001003","48","115","K    ","F","1750        ","Bergen St           ","                    ","19230","23530","54055"
"7952197680","EDU6990   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","NY   ","F","181         ","Clinton St          ","                    ","15510","21690","19690"
"7325463078","EEM2900   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","NY   ","F","50          ","W 77th St           ","                    ","35310","14510","15710"
"7937028622","EUM2643   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","87          ","Chrystie St         ","                    ","15310","22890","21690"
"7519431332","EUW5008   ","NY","PAS","20100304","48-Bike Lane                                                           Y015001003","48","115","K    ","F","679         ","62nd St             ","                    ","09680","05680","05780"
"7998513743","EVG4752   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","I","W           ","1st Ave             ","40ft N/of E 104th St","10010","00000","00000"
"7805265770","EVJ3906   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","341         ","E 90th St           ","                    ","18790","10110","10010"
"7260383926","EVM3476   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","I","E           ","Greenwich St        ","25ft S/of Christophe","21790","00000","00000"
"7998945904","EWN1630   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","NY   ","F","258         ","W 91st St           ","                    ","35590","13610","44990"
"7533837691","EXM6494   ","NY","PAS","20100304","48-Bike Lane                                                                     ","48","115","K    ","F","500         ","Dekalb Ave          ","                    ","31530","41930","77530"
"7990075003","EJF490    ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","NY   ","I","            ","E 89th St           ","                    ","18770","40404","40404"
"7712209467","EJL7373   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","NY   ","O","2292        ","1st Ave             ","                    ","10010","19290","19310"
"7991314420","AEJ6996   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","NY   ","F","306         ","St Nicholas Ave     ","                    ","31190","36270","36290"
"7382984266","AF235G    ","NJ","PAS","20100305","48-Bike Lane                                                                     ","48","115","BX   ","I","E           ","University Ave      ","20ft N/of W 176th St","00000","00000","00000"
"7506007060","AF418B    ","NJ","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","F","953         ","Manhattan Ave       ","                    ","58330","52830","51930"
"7892528258","AF44711   ","PA","PAS","20100305","48-Bike Lane                                                                     ","48","115","NY   ","F","34          ","E Broadway          ","                    ","19690","14310","25890"
"7856610062","AHZ3818   ","NY","PAS","20100307","48-Bike Lane                                                           Y015001003","48","115","NY   ","O","157         ","2nd Ave             ","                    ","10110","17170","17190"
"7857040710","AH213R    ","NJ","PAS","20100305","48-Bike Lane                                                                     ","48","115","NY   ","O","185         ","Avenue C            ","                    ","12310","17210","17230"
"1291064679","AH310P    ","NJ","PAS","20100302","                                                                                 ","48","115","NY   ","F","66          ","AVE A               ","                    ","12110","17070","17090"
"7933754971","AH310P    ","NJ","PAS","20100305","48-Bike Lane                                                                     ","48","115","NY   ","F","62          ","Avenue A            ","                    ","12110","17070","17090"
"7895746856","AH549S    ","NJ","PAS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","F","48          ","Avenue A            ","                    ","12110","17050","17070"
"7948193996","AH549S    ","NJ","PAS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","F","66          ","Avenue A            ","                    ","12110","17070","17090"
"7514107540","AJ287S    ","NJ","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","F","591         ","5th Ave             ","                    ","05580","06730","72430"
"7000811626","AJ447W    ","NJ","PAS","20100305","48-Bike Lane                                                                     ","48","115","Q    ","F","46-36       ","Vernon Blvd         ","                    ","66390","10340","10440"
"7526476027","AJ774U    ","NJ","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","O","340A        ","9th St              ","                    ","06030","05580","05680"
"7869779544","AJ925V    ","NJ","PAS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","F","925         ","8th Ave             ","                    ","10810","34850","34870"
