VALID,ISSUE_DATE,ADDRESS,LAT,LON,ACCURACY
1,2010-03-06 00:00:00,424 Bergen St  Kings,40.6815853,-73.9775844,8
1,2010-03-05 00:00:00,377 Evergreen Ave  Kings,40.6930580,-73.9218109,8
1,2010-03-06 00:00:00,350 9th St  Kings,40.6682540,-73.9850890,8
1,2010-03-07 00:00:00,168 Avenue A  Manhattan,40.7281640,-73.9817895,8
1,2010-03-06 00:00:00,135 E Broadway  Manhattan,40.7137200,-73.9916040,8
1,2010-03-06 00:00:00,S Willoughby Ave 10ft W/of Washington Kings,40.6528762,-73.9594940,3
1,2010-03-06 00:00:00,567 9th St  Kings,40.6650410,-73.9771570,8
1,2010-03-05 00:00:00,1055 Walton Ave  Bronx,40.8316500,-73.9217900,8
1,2010-03-06 00:00:00,519 9th St  Kings,40.6657579,-73.9786869,8
1,2010-03-05 00:00:00,711 Walton Ave  Bronx,40.8236411,-73.9264424,8
1,2010-03-06 00:00:00,E Greenwich St 25ft S/of Christophe Manhattan,40.7834345,-73.9662495,4
1,2010-03-05 00:00:00,1163 Dean St  Kings,40.6771610,-73.9510670,8
1,2010-03-06 00:00:00,W Samuel Dickstein Plz 50ft S/of Grand St Manhattan,40.7176223,-73.9922547,6
1,2010-03-05 00:00:00,1024 Manhattan Ave  Kings,40.7338432,-73.9547256,8
1,2010-03-07 00:00:00,81 Chrystie St  Manhattan,40.7173186,-73.9944123,8
1,2010-03-06 00:00:00,209 8th Ave  Manhattan,40.7439081,-73.9997161,8
1,2010-03-07 00:00:00,24 E Broadway  Manhattan,40.7137070,-73.9968510,8
1,2010-03-07 00:00:00,137 E Broadway  Manhattan,40.7137260,-73.9915160,8
1,2010-03-05 00:00:00,836 Bedford Ave  Kings,40.6960020,-73.9567400,8
1,2010-03-06 00:00:00,904 Prospect Ave  Bronx,40.8211522,-73.9008328,8
1,2010-03-05 00:00:00,975 Walton Ave  Bronx,40.8296967,-73.9227243,8
1,2010-03-05 00:00:00,1171 Dean St  Kings,40.6771500,-73.9508140,8
1,2010-03-07 00:00:00,382 Grand St  Manhattan,40.7162371,-73.9878777,8
1,2010-03-05 00:00:00,45 E 20th St  Manhattan,40.7387265,-73.9883575,8
1,2010-03-05 00:00:00,1055 Walton Ave  Bronx,40.8316500,-73.9217900,8
1,2010-03-05 00:00:00,207 W 106th St  Manhattan,40.8007854,-73.9665223,8
1,2010-03-06 00:00:00,129 E Broadway  Manhattan,40.7136850,-73.9918220,8
1,2010-03-01 00:00:00,546 3RD AVE  Manhattan,40.7472393,-73.9771961,8
1,2010-03-08 00:00:00,280 Madison St  Manhattan,40.7129961,-73.9857888,8
1,2010-03-08 00:00:00,270 Lafayette St  Manhattan,40.7239917,-73.9964322,8
1,2010-03-08 00:00:00,301 Grand St  Manhattan,40.7174748,-73.9919523,8
1,2010-03-08 00:00:00,62 Avenue A  Manhattan,40.7243848,-73.9845872,8
1,2010-03-08 00:00:00,55 Avenue A  Manhattan,40.7241259,-73.9849628,8
1,2010-03-08 00:00:00,346 9th St  Kings,40.6683710,-73.9852540,8
1,2010-03-08 00:00:00,344 9th St  Kings,40.6684030,-73.9853000,8
1,2010-03-08 00:00:00,2205 1st Ave  Manhattan,40.7508843,-73.9684472,8
1,2010-03-08 00:00:00,775 Grand St  Kings,40.7119621,-73.9419268,8
1,2010-03-08 00:00:00,1005 St Nicholas Ave  Manhattan,40.8349441,-73.9398782,8
1,2010-03-08 00:00:00,2484 Grand Concourse  Bronx,40.8619357,-73.8970547,8
1,2010-03-08 00:00:00,321 9th St  Kings,40.6690618,-73.9857127,8
1,2010-03-08 00:00:00,S St Nicholas Ave 75ft E/of W 166th St Manhattan,40.8389952,-73.9385145,6
1,2010-03-08 00:00:00,2133 1st Ave  Manhattan,40.7921294,-73.9383778,8
1,2010-03-08 00:00:00,W Avenue C 20ft N/of E 7th St Manhattan,34.2370050,-77.9405150,8
1,2010-03-08 00:00:00,50 E 9th St  Manhattan,40.7315549,-73.9928959,8
1,2010-03-08 00:00:00,325 9th St  Kings,40.6690142,-73.9855799,8
1,2010-03-08 00:00:00,690 Gerard Ave  Bronx,40.8233220,-73.9275524,8
1,2010-03-08 00:00:00,95 Seaman Ave  Manhattan,40.8683270,-73.9244076,8
1,2010-03-08 00:00:00,46 E 91st St  Manhattan,40.7839152,-73.9564167,8
1,2010-03-08 00:00:00,95 W 119th St  Manhattan,40.8038385,-73.9479531,8
1,2010-03-08 00:00:00,342 E 119th St  Manhattan,40.7982730,-73.9350019,8
1,2010-03-08 00:00:00,50 W 77th St  Manhattan,40.7803790,-73.9760760,8
1,2010-03-08 00:00:00,918 Gerard Ave  Bronx,40.8287380,-73.9239710,8
1,2010-03-08 00:00:00,2133 1st Ave  Manhattan,40.7921294,-73.9383778,8
1,2010-03-08 00:00:00,100 Haven Ave  Manhattan,40.8445930,-73.9424090,8
1,2010-03-08 00:00:00,127 Wallabout St  Kings,40.7000529,-73.9552325,8
1,2010-03-08 00:00:00,1081 St Nicholas Ave  Manhattan,40.8376936,-73.9400272,8
1,2010-03-08 00:00:00,1815 Grand Concourse  Bronx,40.8474820,-73.9084700,8
1,2010-03-08 00:00:00,35 Ft Washington Ave  Manhattan,40.8366935,-73.9445775,8
1,2010-03-08 00:00:00,S E 119th St 60ft E/of 1st Ave Manhattan,40.7494342,-73.9694266,6
1,2010-03-08 00:00:00,206 St Nicholas Ave  Manhattan,40.8069289,-73.9525090,8
1,2010-03-08 00:00:00,367 Carlton Ave  Kings,40.6866870,-73.9712410,8
1,2010-03-08 00:00:00,2153 Bergen St  Kings,40.6740820,-73.9089360,8
-1,2010-03-08 00:00:00,S Willoughby Ave 5ft W/of Washington Kings,0,0,0
1,2010-03-08 00:00:00,E Gerard Ave 150ft S/of E 164th S Bronx,40.8500000,-73.8666670,4
1,2010-03-08 00:00:00,121 Greenpoint Ave  Kings,40.7302447,-73.9552763,8
1,2010-03-08 00:00:00,540 E New York Ave  Kings,40.6616910,-73.9447400,8
1,2010-03-08 00:00:00,248 Dekalb Ave  Kings,40.6892540,-73.9692360,8
1,2010-03-08 00:00:00,1070 St Nicholas Ave  Manhattan,40.8373892,-73.9400460,8
1,2010-03-08 00:00:00,630 Fort Washington Ave  Manhattan,40.8560204,-73.9364336,8
1,2010-03-08 00:00:00,140 Seaman Ave  Manhattan,40.8690623,-73.9224652,8
1,2010-03-08 00:00:00,1830 1st Ave  Manhattan,40.7508833,-73.9684479,8
1,2010-03-08 00:00:00,230 Bergen St  Kings,40.6842910,-73.9850150,8
1,2010-03-08 00:00:00,N Skillman Ave 65ft W/of 56th St Queens,40.7418858,-73.9092680,6
1,2010-03-08 00:00:00,918 Gerard Ave  Bronx,40.8287380,-73.9239710,8
1,2010-03-08 00:00:00,759 Gerard Ave  Bronx,40.8252507,-73.9265102,8
1,2010-03-08 00:00:00,S Willoughby Ave 5ft W/of Washington Kings,40.6528762,-73.9594940,3
1,2010-03-08 00:00:00,255 Dyckman St  Manhattan,40.8665461,-73.9284516,8
1,2010-03-08 00:00:00,295 9th St  Kings,40.6695829,-73.9868061,8
1,2010-03-08 00:00:00,2105 1st Ave  Manhattan,40.7911840,-73.9393410,8
1,2010-03-09 00:00:00,115 Avenue C  Manhattan,40.7244540,-73.9788740,8
1,2010-03-09 00:00:00,283 Cumberland St  Kings,40.6871460,-73.9723750,8
1,2010-03-09 00:00:00,215 W 106th St  Manhattan,40.8009870,-73.9668940,8
1,2010-03-09 00:00:00,738 Other-See Comments 738 SAINT ANNS AVE Bronx,40.8189300,-73.9104880,8
1,2010-03-09 00:00:00,987 Manhattan Ave  Kings,40.7327230,-73.9549880,8
1,2010-03-09 00:00:00,62 Avenue A  Manhattan,40.7243848,-73.9845872,8
1,2010-03-09 00:00:00,W Chrystie St 100ft S/of E Houston Manhattan,40.7834345,-73.9662495,4
1,2010-03-09 00:00:00,1707 University Ave  Bronx,40.8494795,-73.9171541,8
1,2010-03-09 00:00:00,N Willis Ave 20ft E/of E 144th St Bronx,40.8121781,-73.9184216,6
1,2010-03-09 00:00:00,116 Avenue C  Manhattan,40.7244261,-73.9785811,8
1,2010-03-09 00:00:00,409 5th Ave  Kings,40.6701601,-73.9854546,8
1,2010-03-09 00:00:00,905 Manhattan Ave  Kings,40.7303565,-73.9544739,8
1,2010-03-09 00:00:00,W 2nd Ave 8ft N/of E 9th St Manhattan,40.7281990,-73.9848750,6
1,2010-03-09 00:00:00,954 Manhattan Ave  Kings,40.7319510,-73.9545113,8
1,2010-03-09 00:00:00,644 Grand St  Kings,40.7113327,-73.9464764,8
1,2010-03-09 00:00:00,993 Prospect Ave  Bronx,40.8233016,-73.9003060,8
1,2010-03-09 00:00:00, Grand Concourse  Bronx,40.8183005,-73.9472263,6
1,2010-03-04 00:00:00,310 W 77th St  Manhattan,40.7832662,-73.9827120,8
1,2010-03-04 00:00:00,1522 Neptune Ave  Kings,40.5788080,-73.9837430,8
1,2010-03-30 00:00:00,E Greenwich St 25ft S/of Christophe Manhattan,40.7834345,-73.9662495,4
1,2010-03-04 00:00:00,N Greenwich St 25ft E/of Christophe Manhattan,40.7834345,-73.9662495,4
1,2010-03-04 00:00:00,234 E 119th St  Manhattan,40.7992279,-73.9372098,8
1,2010-03-04 00:00:00,32-39 35th St  Queens,40.7593570,-73.9227510,8
1,2010-03-04 00:00:00,S Reade St 90ft E/of Broadway Manhattan,40.7427976,-73.9891981,8
1,2010-03-04 00:00:00,82-33 164th St  Queens,40.7183320,-73.8036209,8
1,2010-03-04 00:00:00,912 Manhattan Ave  Kings,40.7306019,-73.9542131,8
1,2010-03-04 00:00:00,126W W 119th St  Manhattan,40.8043059,-73.9497040,8
1,2010-03-04 00:00:00,114 Seaman Ave  Manhattan,40.8687630,-73.9239980,8
1,2010-03-04 00:00:00,336 W 77th St  Manhattan,40.7836624,-73.9836096,8
1,2010-03-04 00:00:00,222 E 119th St  Manhattan,40.7993398,-73.9374679,8
1,2010-03-04 00:00:00,E Greenwich St 25ft S/of Christophe Manhattan,40.7834345,-73.9662495,4
1,2010-03-04 00:00:00,344 E 120th St  Manhattan,40.7986460,-73.9343430,8
1,2010-03-04 00:00:00,2335 1st Ave  Manhattan,40.7983185,-73.9335433,8
1,2010-03-04 00:00:00,2288 1st Ave  Manhattan,40.7969926,-73.9345966,8
1,2010-03-04 00:00:00,679 Bedford Ave  Kings,40.7010033,-73.9573657,8
1,2010-03-30 00:00:00,151-15 84th St  Queens,40.7249276,-73.8724672,8
1,2010-03-04 00:00:00,588 Grand St  Kings,40.7109219,-73.9482890,8
1,2010-03-04 00:00:00,1750 Bergen St  Kings,40.6744470,-73.9241909,8
1,2010-03-30 00:00:00,181 Clinton St  Manhattan,40.7154796,-73.9869965,8
1,2010-03-30 00:00:00,50 W 77th St  Manhattan,40.7803790,-73.9760760,8
1,2010-03-04 00:00:00,87 Chrystie St  Manhattan,40.7175750,-73.9941640,8
1,2010-03-04 00:00:00,679 62nd St  Kings,40.6358636,-74.0132046,8
1,2010-03-04 00:00:00,W 1st Ave 40ft N/of E 104th St Manhattan,40.7909404,-73.9472373,6
1,2010-03-04 00:00:00,341 E 90th St  Manhattan,40.7797120,-73.9478784,8
1,2010-03-04 00:00:00,E Greenwich St 25ft S/of Christophe Manhattan,40.7834345,-73.9662495,4
1,2010-03-04 00:00:00,258 W 91st St  Manhattan,40.7915260,-73.9748259,8
1,2010-03-04 00:00:00,500 Dekalb Ave  Kings,40.6906441,-73.9567804,8
1,2010-03-30 00:00:00, E 89th St  Manhattan,40.7798062,-73.9503264,6
1,2010-03-30 00:00:00,2292 1st Ave  Manhattan,40.7970490,-73.9342860,8
1,2010-03-05 00:00:00,306 St Nicholas Ave  Manhattan,40.8110153,-73.9523839,8
1,2010-03-05 00:00:00,E University Ave 20ft N/of W 176th St Bronx,40.8492986,-73.9176462,6
1,2010-03-05 00:00:00,953 Manhattan Ave  Kings,40.7319056,-73.9548979,8
1,2010-03-05 00:00:00,34 E Broadway  Manhattan,40.7137440,-73.9964059,8
1,2010-03-07 00:00:00,157 2nd Ave  Manhattan,40.7296431,-73.9870881,8
1,2010-03-05 00:00:00,185 Avenue C  Manhattan,40.7268090,-73.9770476,8
1,2010-03-02 00:00:00,66 AVE A  Manhattan,40.7245123,-73.9844978,8
1,2010-03-05 00:00:00,62 Avenue A  Manhattan,40.7243848,-73.9845872,8
1,2010-03-06 00:00:00,48 Avenue A  Manhattan,40.7238535,-73.9851177,8
1,2010-03-06 00:00:00,66 Avenue A  Manhattan,40.7245123,-73.9844978,8
1,2010-03-05 00:00:00,591 5th Ave  Kings,40.6644668,-73.9900654,8
1,2010-03-05 00:00:00,46-36 Vernon Blvd  Queens,40.7459190,-73.9533440,8
1,2010-03-05 00:00:00,340A 9th St  Kings,40.6685688,-73.9853722,8
1,2010-03-06 00:00:00,925 8th Ave  Manhattan,40.7653788,-73.9841068,8
1,2010-03-05 00:00:00,631 5th Ave  Kings,40.6631913,-73.9913414,8
1,2010-03-05 00:00:00,470 8th Ave  Manhattan,40.7518837,-73.9934126,8
1,2010-03-05 00:00:00,555 Hudson St  Manhattan,40.7353569,-74.0061954,8
1,2010-03-05 00:00:00,258 St Nicholas Ave  Manhattan,40.8092770,-73.9528313,8
1,2010-03-05 00:00:00,111 Lafayette St  Manhattan,40.7181006,-74.0006670,8
1,2010-03-05 00:00:00,E Lafayette St 300ft N/of Duane St Manhattan,40.7157670,-74.0065788,6
1,2010-03-06 00:00:00,1448 1st Ave  Manhattan,40.7698833,-73.9542434,8
1,2010-03-05 00:00:00,1770 Grand Concourse  Bronx,40.8456199,-73.9096370,8
1,2010-03-06 00:00:00,214 5th Ave  Kings,36.1152106,-119.5542562,8
1,2010-03-05 00:00:00,666-668 Greenwich St  Manhattan,40.7323617,-74.0076720,8
1,2010-03-05 00:00:00,2429 Grand Concourse  Bronx,40.8609855,-73.8981621,8
1,2010-03-05 00:00:00,97 Greenpoint Ave  Kings,40.7301364,-73.9563836,8
1,2010-03-05 00:00:00,134 Avenue A  Manhattan,40.7264927,-73.9831987,8
1,2010-03-05 00:00:00,428 Lafayette St  Manhattan,40.7291950,-73.9925190,8
1,2010-03-05 00:00:00,525 Hudson St  Manhattan,40.7340450,-74.0064022,8
1,2010-03-05 00:00:00,755 Washington St  Manhattan,40.7371709,-74.0079760,8
1,2010-03-05 00:00:00,593 5th Ave  Kings,40.6644212,-73.9900988,8
1,2010-03-05 00:00:00,109 Lafayette St  Manhattan,40.7179650,-74.0007390,8
1,2010-03-06 00:00:00,142 9th St  Kings,40.6723261,-73.9928526,8
1,2010-03-07 00:00:00,42-20 43rd Ave  Queens,40.7451539,-73.9214679,8
1,2010-03-05 00:00:00,18 Lincoln Pl  Kings,40.6771870,-73.9790470,8
1,2010-03-09 00:00:00,155 Kane St  Kings,40.6869465,-73.9986187,8
1,2010-03-09 00:00:00,1665 1st Ave  Manhattan,40.7775070,-73.9492700,8
1,2010-03-09 00:00:00,197 E Broadway  Manhattan,40.7141552,-73.9881187,8
1,2010-03-09 00:00:00,555 5th Ave  Kings,40.6656096,-73.9891142,8
1,2010-03-09 00:00:00,E Greenwich St 25ft S/of Christophe Manhattan,40.7834345,-73.9662495,4
1,2010-03-09 00:00:00,219 Kane St  Kings,40.6861380,-73.9958620,8
1,2010-03-09 00:00:00,298 Cumberland St  Kings,40.6868660,-73.9728970,8
1,2010-03-09 00:00:00,516 3rd Ave  Kings,40.6699060,-73.9926310,8
1,2010-03-09 00:00:00,2327 1st Ave  Manhattan,40.7981750,-73.9340479,8
1,2010-03-09 00:00:00,955 Walton Ave  Bronx,40.8291480,-73.9233409,8
1,2010-03-09 00:00:00,1604 1st Ave  Manhattan,40.7750493,-73.9505023,8
1,2010-03-09 00:00:00,157 Kane St  Kings,40.6869790,-73.9985060,8
1,2010-03-09 00:00:00,47-31 Center Blvd  Queens,40.7464231,-73.9565288,8
1,2010-03-09 00:00:00,366 9th St  Kings,40.6680120,-73.9844830,8
1,2010-03-09 00:00:00,2287 1st Ave  Manhattan,40.7972290,-73.9349310,8
1,2010-03-09 00:00:00,2337 1st Ave  Manhattan,40.7985360,-73.9339040,8
1,2010-03-09 00:00:00,310 Cumberland St  Kings,40.6865846,-73.9726196,8
1,2010-03-09 00:00:00,2136 Fredrick Douglas Blv  Manhattan,40.8039402,-73.9555068,8
1,2010-03-09 00:00:00,1902 Adam Clayton Powell  Manhattan,40.8029020,-73.9532700,8
1,2010-03-09 00:00:00,54 W 78th St  Manhattan,40.7812666,-73.9760186,8
1,2010-03-09 00:00:00,101 E Broadway  Manhattan,40.7135530,-73.9932390,8
1,2010-03-09 00:00:00,359 Maple St  Kings,40.6611430,-73.9488400,8
1,2010-03-09 00:00:00,92 E Broadway  Manhattan,40.7139809,-73.9936710,8
1,2010-03-09 00:00:00,666 Greenwich St  Manhattan,40.7323050,-74.0077630,8
1,2010-03-09 00:00:00,720 Greenwich St  Manhattan,40.7343440,-74.0071691,8
1,2010-03-10 00:00:00,140 2nd Ave  Manhattan,40.7288962,-73.9873037,8
1,2010-03-02 00:00:00,  20' W/O 7TH AVE Manhattan,40.7377220,-74.0008850,8
1,2010-03-10 00:00:00,31 E 20th St  Manhattan,40.7389933,-73.9890012,8
1,2010-03-10 00:00:00,345 Hudson St  Manhattan,40.7277046,-74.0074285,8
1,2010-03-10 00:00:00,267 Lafayette St  Manhattan,40.7234468,-73.9964819,8
1,2010-03-10 00:00:00,521 Hudson St  Manhattan,40.7339335,-74.0062859,8
1,2010-03-10 00:00:00,915 Manhattan Ave  Kings,40.7305905,-73.9544946,8
1,2010-03-10 00:00:00,56 Warren St  Manhattan,40.7148969,-74.0092610,8
1,2010-03-10 00:00:00,2222 Fredrick Douglas Blv  Manhattan,40.8067140,-73.9532580,8
1,2010-03-10 00:00:00,622 Melrose Ave  Bronx,40.8179344,-73.9166959,8
1,2010-03-10 00:00:00,2337 1st Ave  Manhattan,40.7985360,-73.9339040,8
1,2010-03-10 00:00:00,470 8th Ave  Manhattan,40.7518837,-73.9934126,8
1,2010-03-02 00:00:00,913 8 AVE  Manhattan,40.7649726,-73.9841874,8
1,2010-03-10 00:00:00,46-42 Vernon Blvd  Queens,40.7457820,-73.9533900,8
1,2010-03-10 00:00:00,2484 Grand Concourse  Bronx,40.8619357,-73.8970547,8
1,2010-03-10 00:00:00,613 5th Ave  Kings,40.6637154,-73.9907357,8
1,2010-03-01 00:00:00,  S/S OF W 48TH ST 10 Manhattan,40.7574540,-73.9791190,8
1,2010-03-10 00:00:00,594 5th Ave  Kings,40.6643462,-73.9904925,8
1,2010-03-10 00:00:00,616 Melrose Ave  Bronx,40.8178181,-73.9168346,8
1,2010-03-10 00:00:00,515 E 89th St  Manhattan,40.7776513,-73.9448804,8
1,2010-03-10 00:00:00,2105 1st Ave  Manhattan,40.7911840,-73.9393410,8
1,2010-03-10 00:00:00,E Greenwich St 25ft S/of Christophe Manhattan,40.7834345,-73.9662495,4
1,2010-03-10 00:00:00,2555 Grand Concourse  Bronx,40.8639150,-73.8966020,8
1,2010-03-05 00:00:00,26-18 21 ST  Queens,40.7732142,-73.9254096,8
1,2010-03-10 00:00:00,1663 1st Ave  Manhattan,40.7774069,-73.9491957,8
1,2010-03-10 00:00:00,170 E 91st St  Manhattan,40.7821575,-73.9521732,8
1,2010-03-10 00:00:00,762 Bedford Ave  Kings,40.6980014,-73.9569514,8
1,2010-03-10 00:00:00,179 Chrystie St  Manhattan,40.7214759,-73.9922682,8
1,2010-03-10 00:00:00,80 4th Ave  Manhattan,40.7316642,-73.9904536,8
1,2010-03-10 00:00:00,101 5th Ave  Manhattan,40.7380090,-73.9917620,8
1,2010-03-10 00:00:00,741 St Nicholas Ave  Manhattan,40.8254803,-73.9439386,8
1,2010-03-10 00:00:00,148-36 89th Ave  Queens,40.7042120,-73.8061100,8
1,2010-03-10 00:00:00,315 Empire Blvd  Kings,40.6641229,-73.9517910,8
1,2010-03-10 00:00:00,400 E 89th St  Manhattan,40.7786044,-73.9477628,8
1,2010-03-10 00:00:00,145 E Broadway  Manhattan,40.7139055,-73.9911640,8
1,2010-03-10 00:00:00,1005 St Nicholas Ave  Manhattan,40.8349441,-73.9398782,8
1,2010-03-10 00:00:00,1272 Grand Concourse  Bronx,40.8362982,-73.9162440,8
1,2010-03-10 00:00:00,270 Lafayette St  Manhattan,40.7239917,-73.9964322,8
1,2010-03-10 00:00:00,112 Lafayette St  Manhattan,40.7181847,-74.0007891,8
1,2010-03-10 00:00:00,88 Bleecker St  Manhattan,40.7268487,-73.9965467,8
1,2010-03-10 00:00:00,W Berry St 40ft N/of N 5th St Kings,40.7167280,-73.9589130,6
1,2010-03-10 00:00:00,N W 21st St 15ft E/of 10th Ave Manhattan,40.7552520,-73.9986590,6
1,2010-03-10 00:00:00,2267 1st Ave  Manhattan,40.7964460,-73.9354539,8
1,2010-03-10 00:00:00,38-08 43rd Ave  Queens,40.7457398,-73.9265447,8
1,2010-03-10 00:00:00,1036 Manhattan Ave  Kings,40.7342063,-73.9547992,8
1,2010-03-10 00:00:00,866 Bedford Ave  Kings,40.6952944,-73.9564130,8
1,2010-03-10 00:00:00,1461 1st Ave  Manhattan,40.7708084,-73.9540116,8
1,2010-03-10 00:00:00,2265 1st Ave  Manhattan,40.7963327,-73.9354019,8
1,2010-03-10 00:00:00,1014 Manhattan Ave  Kings,40.7335624,-73.9546955,8
1,2010-03-10 00:00:00,N E 85th St 6ft W/of E 86th St Manhattan,40.7779000,-73.9517950,6
-1,2010-03-10 00:00:00,S Willoughby Ave 5ft W/of Washington Kings,0,0,0
1,2010-03-10 00:00:00,2261 1st Ave  Manhattan,40.7962879,-73.9355660,8
1,2010-03-10 00:00:00,186 Throop Ave  Kings,40.6986050,-73.9443730,8
1,2010-03-10 00:00:00,666 Greenwich St  Manhattan,40.7323050,-74.0077630,8
1,2010-03-10 00:00:00,341 St Nicholas Ave  Manhattan,40.8120547,-73.9514944,8
1,2010-03-10 00:00:00,1546 1st Ave  Manhattan,40.7734062,-73.9518781,8
1,2010-03-10 00:00:00,666 Greenwich St  Manhattan,40.7323050,-74.0077630,8
1,2010-03-10 00:00:00,328 9th St  Kings,40.6688017,-73.9858557,8
1,2010-03-11 00:00:00,918 Manhattan Ave  Kings,40.7307475,-73.9542328,8
1,2010-03-11 00:00:00,113 Avenue C  Manhattan,40.7244070,-73.9789090,8
1,2010-03-11 00:00:00,380 Lafayette St  Manhattan,40.7276407,-73.9935137,8
1,2010-03-11 00:00:00,922 Manhattan Ave  Kings,40.7308313,-73.9542470,8
1,2010-03-11 00:00:00,350 E 20th St  Manhattan,40.7351745,-73.9803530,8
1,2010-03-11 00:00:00,692 Grand St  Kings,40.7114621,-73.9448434,8
1,2010-03-11 00:00:00,269 W 10th St  Manhattan,40.7336610,-74.0076720,8
1,2010-03-11 00:00:00,478 6th Ave  Manhattan,40.7358376,-73.9977238,8
1,2010-03-11 00:00:00,635 Grand St  Kings,40.7115305,-73.9466899,8
1,2010-03-11 00:00:00,1374 1st Ave  Manhattan,40.7686865,-73.9551865,8
1,2010-03-11 00:00:00,200 2nd Ave  Manhattan,40.7313181,-73.9856631,8
1,2010-03-11 00:00:00,85 4th Ave  Manhattan,40.7314549,-73.9898670,8
1,2010-03-11 00:00:00,116 Avenue C  Manhattan,40.7244261,-73.9785811,8
1,2010-03-11 00:00:00,951 Manhattan Ave  Kings,40.7317494,-73.9546822,8
1,2010-03-11 00:00:00,154 Congress St  Kings,40.6885740,-73.9970000,8
1,2010-03-11 00:00:00,73 Chrystie St  Manhattan,40.7170765,-73.9945398,8
1,2010-03-11 00:00:00,111 Lafayette St  Manhattan,40.7181006,-74.0006670,8
1,2010-03-11 00:00:00,2905 Grand Concourse  Bronx,40.8715199,-73.8895270,8
1,2010-03-11 00:00:00,910 Gerard Ave  Bronx,40.8285399,-73.9240850,8
1,2010-03-11 00:00:00,2133 1st Ave  Manhattan,40.7921294,-73.9383778,8
1,2010-03-11 00:00:00,2905 Grand Concourse  Bronx,40.8715199,-73.8895270,8
1,2010-03-11 00:00:00,666 Greenwich St  Manhattan,40.7323050,-74.0077630,8
1,2010-03-11 00:00:00,134 Haven Ave  Manhattan,40.8457560,-73.9427570,8
1,2010-03-11 00:00:00,2255 1st Ave  Manhattan,40.7958889,-73.9357192,8
1,2010-03-11 00:00:00,189 Carlton Ave  Kings,40.6920880,-73.9723170,8
1,2010-03-11 00:00:00,E Greenwich St 40ft S/of Christophe Manhattan,40.7834345,-73.9662495,4
1,2010-03-11 00:00:00,101 W 91st St  Manhattan,40.7902102,-73.9708184,8
1,2010-03-11 00:00:00,141 Haven Ave  Manhattan,40.8460159,-73.9424930,8
1,2010-03-11 00:00:00,370 Willis Ave  Bronx,40.8119916,-73.9205689,8
1,2010-03-11 00:00:00,348 E 120th St  Manhattan,40.7985820,-73.9341950,8
1,2010-03-11 00:00:00,24 E Broadway  Manhattan,40.7137070,-73.9968510,8
1,2010-03-11 00:00:00,154 Congress St  Kings,40.6885740,-73.9970000,8
